	image	text	font
12	12.jpg	4986  777649994 8336618096	fonts/go/Hannari-Regular.ttf
31	31.jpg	7640 198231545	fonts/go/NotoSansMyanmarUI-Regular.ttf
33	33.jpg	8957 88 70	fonts/go/NotoSansMyanmarUI-Regular.ttf
38	38.jpg	 11169  9 	fonts/go/NotoSansMasaramGondi-Regular.ttf
48	48.jpg	80227  53 1737 6314086240	fonts/go/LibreBarcode39ExtendedText-Regular.ttf
57	57.jpg	2348884	fonts/go/NotoSansLisu[wght].ttf
66	66.jpg	69628 7911	fonts/go/NotoSansSundanese[wght].ttf
107	107.jpg	62 8761 97245  052 7 568	fonts/go/NotoSansLydian-Regular.ttf
160	160.jpg	019679  5 1724 488653 44076 32	fonts/go/NotoSansJavanese-Regular.ttf
167	167.jpg	12577	fonts/go/NotoSansZanabazarSquare-Regular.ttf
184	184.jpg	24 7900271 1481	fonts/go/NotoSansModi-Regular.ttf
205	205.jpg	41042  031544	fonts/go/NotoSansNewTaiLue-Regular.ttf
206	206.jpg	6972 09203 81597 71 94692 	fonts/go/NotoSansThaana[wght].ttf
210	210.jpg	890336673  5347	fonts/go/NotoSerifKhmer[wdth,wght].ttf
218	218.jpg	20454  5384374  730 98929 4 146704	fonts/go/NotoSerifKhmer[wdth,wght].ttf
234	234.jpg	310  0 994  246313 192	fonts/go/NotoSansBuginese-Regular.ttf
256	256.jpg	06 8235658867 516	fonts/go/Hannari-Regular.ttf
257	257.jpg	081	fonts/go/NotoSansTagbanwa-Regular.ttf
281	281.jpg	2 68889	fonts/go/NotoSansNewTaiLue-Regular.ttf
291	291.jpg	48  735 5681 0 1 66 8	fonts/go/NotoSansNewTaiLue-Regular.ttf
306	306.jpg	972896	fonts/go/NotoSansRejang-Regular.ttf
314	314.jpg	331 2291 339 469	fonts/go/NotoSansBamum[wght].ttf
315	315.jpg	8910462  39627 648	fonts/go/NotoSansGothic-Regular.ttf
343	343.jpg	444 2 8361 78 19 4186	fonts/go/NotoSansIndicSiyaqNumbers-Regular.ttf
403	403.jpg	8159114336 90 0681 93	fonts/go/NotoSansModi-Regular.ttf
429	429.jpg	7457742  4598554520	fonts/go/NotoSansNewTaiLue-Regular.ttf
463	463.jpg	 94271 09608 0070 89	fonts/go/NotoSansPahawhHmong-Regular.ttf
483	483.jpg	86190175 799 356 6369 4 71405	fonts/go/NotoSansThaiLooped-ExtraLight.ttf
526	526.jpg	 4851228 83782832	fonts/go/NotoSerifMyanmar-ExtraBold.ttf
569	569.jpg	2137	fonts/go/NotoSansBrahmi-Regular.ttf
582	582.jpg	4 4969 0046 88826 507 5	fonts/go/LibreBarcode39-Regular.ttf
588	588.jpg	 1783 1436 43  919 074 13127967	fonts/go/NotoSansVai-Regular.ttf
607	607.jpg	0343 929 914908 95111805	fonts/go/NotoSansThaiLooped-Regular.ttf
640	640.jpg	5524 75 968 7	fonts/go/MyanmarSansPro-Regular.ttf
690	690.jpg	34908 5147124421 185360 2 393 5109 7	fonts/go/NotoSansBuginese-Regular.ttf
726	726.jpg	23445562 0 45332516 01791 509779432	fonts/go/NotoSansMayanNumerals-Regular.ttf
739	739.jpg	32 5952 52542  48570 6997492 1 	fonts/go/MyanmarSansPro-Regular.ttf
743	743.jpg	19 3319 3161429853 7 8170 621	fonts/go/NotoSansPauCinHau-Regular.ttf
783	783.jpg	24 91	fonts/go/NotoSansKharoshthi-Regular.ttf
842	842.jpg	4044917 7 4  470029	fonts/go/NotoSerifMyanmar-Bold.ttf
862	862.jpg	86581 5 8918 2850 568791	fonts/go/NotoSansCaucasianAlbanian-Regular.ttf
983	983.jpg	925 9401  8117204	fonts/go/NotoSansKaithi-Regular.ttf
1026	1026.jpg	1817732 4  188696 3506705350	fonts/go/NotoSansNushu-Regular.ttf
1059	1059.jpg	16 43567 0	fonts/go/NotoSansMyanmarUI-Light.ttf
1071	1071.jpg	63563391 35	fonts/go/LibreBarcode39-Regular.ttf
1132	1132.jpg	98910	fonts/go/NotoSerifMyanmar-Black.ttf
1145	1145.jpg	  	fonts/go/Arsenal-Bold.ttf
1168	1168.jpg	07 3 26799	fonts/go/NotoSerifMyanmar-ExtraBold.ttf
1194	1194.jpg	421 4023 12681	fonts/go/NotoSansOldHungarian-Regular.ttf
1205	1205.jpg	1643875	fonts/go/NotoSansLinearB-Regular.ttf
1211	1211.jpg	780  75738940	fonts/go/NotoSansJavanese-Regular.ttf
1217	1217.jpg	24 851	fonts/go/NotoSansMandaic-Regular.ttf
1244	1244.jpg	1401 930	fonts/go/NotoSansKharoshthi-Regular.ttf
1259	1259.jpg	18588933	fonts/go/NotoSansMyanmarUI-SemiBold.ttf
1296	1296.jpg	58 82 29 77580909	fonts/go/NotoSansOldTurkic-Regular.ttf
1315	1315.jpg	4283827	fonts/go/NotoSansNKo-Regular.ttf
1390	1390.jpg	 02	fonts/go/NotoSansOlChiki[wght].ttf
1407	1407.jpg	57294	fonts/go/NotoSansLinearB-Regular.ttf
1416	1416.jpg	9382524 81868 4 4 0	fonts/go/NotoRashiHebrew[wght].ttf
1517	1517.jpg	7 831044 6 4666054346	fonts/go/NotoSerifMyanmar-SemiBold.ttf
1549	1549.jpg	8 3 9069	fonts/go/NotoSansHanunoo-Regular.ttf
1592	1592.jpg	31468 13 288567 8 641408 520	fonts/go/NotoSansLimbu-Regular.ttf
1646	1646.jpg	1471 20 293894 495	fonts/go/NotoSansTagbanwa-Regular.ttf
1797	1797.jpg	70  0 067	fonts/go/NotoSansCaucasianAlbanian-Regular.ttf
1839	1839.jpg	8929 8 	fonts/go/NotoSansNushu-Regular.ttf
1870	1870.jpg	821	fonts/go/NotoSansThaana[wght].ttf
1992	1992.jpg	662 2 7016366 5687 69	fonts/go/NotoSansLepcha-Regular.ttf
