	image	text	font
152	152.jpg	 01 99980 209 26 897	fonts/go/NotoSansSoyombo-Regular.ttf
164	164.jpg	27397649  27602 768	fonts/go/NotoSerifArmenian[wdth,wght].ttf
316	316.jpg	83061119  169859383 988 492 7346 41	fonts/go/NotoSansKayahLi[wght].ttf
368	368.jpg	3441850158	fonts/go/NotoSansRunic-Regular.ttf
383	383.jpg	05 505436 7 72594   86  8 66 98359 2	fonts/go/NotoSansSyriac-Regular.ttf
541	541.jpg	 919 527723	fonts/go/NotoSansMahajani-Regular.ttf
614	614.jpg	4797862	fonts/go/NotoSerifGeorgian[wdth,wght].ttf
629	629.jpg	661 31  406	fonts/go/NotoSansRunic-Regular.ttf
810	810.jpg	7182143	fonts/go/NotoSansDeseret-Regular.ttf
848	848.jpg	2371 602 89434	fonts/go/NotoSansOsmanya-Regular.ttf
1211	1211.jpg	 78 2002157 9159 33 	fonts/go/NotoSansSoyombo-Regular.ttf
1341	1341.jpg	 6991  055737  8	fonts/go/NotoSerifGeorgian[wdth,wght].ttf
1382	1382.jpg	1752758 97 74897 15 6736 1	fonts/go/NotoSansAdlam[wght].ttf
1511	1511.jpg	0411888014 8290939576 20	fonts/go/NotoSansBatak-Regular.ttf
1836	1836.jpg	6684729   442777 53 910	fonts/go/NotoSansKayahLi[wght].ttf
